B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_Nd_30K	rho_Nd_30K
15.481	 1.0173e+00	0.1255	1.0005	 1.3010e-01	 9.9989e-01	 8.3813e+01	 1.1573e+00
15.492	 1.0188e+00	0.12562	0.99982	 1.3026e-01	 9.9995e-01	 8.3803e+01	 1.1576e+00
15.503	 1.0173e+00	0.12575	1.0006	 1.3042e-01	 1.0000e+00	 8.3793e+01	 1.1576e+00
15.514	 1.0205e+00	0.12587	0.99963	 1.3058e-01	 1.0001e+00	 8.3783e+01	 1.1573e+00
15.525	 1.0197e+00	0.12599	1.0007	 1.3074e-01	 1.0002e+00	 8.3773e+01	 1.1570e+00
15.536	 1.0205e+00	0.12611	0.99996	 1.3090e-01	 1.0002e+00	 8.3763e+01	 1.1568e+00
15.547	 1.0208e+00	0.12624	1.0006	 1.3107e-01	 1.0001e+00	 8.3753e+01	 1.1569e+00
15.558	 1.0203e+00	0.12636	1.0001	 1.3123e-01	 1.0000e+00	 8.3743e+01	 1.1572e+00
15.569	 1.0214e+00	0.12649	0.99996	 1.3139e-01	 9.9991e-01	 8.3733e+01	 1.1577e+00
15.58	 1.0196e+00	0.12661	1.0007	 1.3155e-01	 9.9983e-01	 8.3722e+01	 1.1581e+00
15.591	 1.0225e+00	0.12674	0.9992	 1.3171e-01	 9.9991e-01	 8.3712e+01	 1.1583e+00
15.603	 1.0212e+00	0.12687	0.99999	 1.3187e-01	 9.9999e-01	 8.3702e+01	 1.1581e+00
15.614	 1.0226e+00	0.12699	0.99953	 1.3204e-01	 1.0001e+00	 8.3691e+01	 1.1578e+00
15.625	 1.0219e+00	0.12712	1.0008	 1.3220e-01	 1.0000e+00	 8.3681e+01	 1.1574e+00
15.636	 1.0230e+00	0.12724	0.99992	 1.3236e-01	 9.9997e-01	 8.3671e+01	 1.1570e+00
15.647	 1.0240e+00	0.12737	1.0004	 1.3252e-01	 9.9991e-01	 8.3660e+01	 1.1570e+00
15.658	 1.0230e+00	0.12749	1.0004	 1.3268e-01	 9.9987e-01	 8.3650e+01	 1.1572e+00
15.669	 1.0245e+00	0.12761	1.0	 1.3284e-01	 9.9987e-01	 8.3639e+01	 1.1575e+00
15.681	 1.0239e+00	0.12773	1.0006	 1.3300e-01	 9.9985e-01	 8.3628e+01	 1.1578e+00
15.692	 1.0262e+00	0.12785	0.99923	 1.3316e-01	 9.9987e-01	 8.3618e+01	 1.1578e+00
15.703	 1.0231e+00	0.12798	1.0009	 1.3332e-01	 9.9983e-01	 8.3607e+01	 1.1576e+00
15.714	 1.0248e+00	0.1281	0.99979	 1.3348e-01	 9.9987e-01	 8.3596e+01	 1.1571e+00
15.725	 1.0261e+00	0.12823	1.0003	 1.3364e-01	 9.9991e-01	 8.3586e+01	 1.1565e+00
15.737	 1.0266e+00	0.12836	0.99996	 1.3380e-01	 9.9999e-01	 8.3575e+01	 1.1561e+00
15.748	 1.0270e+00	0.12848	1.0003	 1.3396e-01	 1.0001e+00	 8.3564e+01	 1.1559e+00
